Specimen properties : Thickness,5.63,mm
Specimen properties : Width,13.12,mm
Specimen properties : Specimen label,pc-good,
,,
Time,Extension,Load
(s),(mm),(N)
112,7.4653,3530.82788
112.5,7.49879,3527.59131
113,7.53199,3524.11646
113.5,7.56522,3520.51294
114,7.59853,3517.25659
114.5,7.63186,3514.57153
115,7.66534,3511.8938
115.5,7.69867,3509.17383
116,7.732,3506.625
116.5,7.76527,3503.99878
117,7.79872,3501.96509
117.5,7.83202,3499.58081
118,7.86538,3497.61621
118.5,7.89864,3495.54004
119,7.93186,3493.6123
119.5,7.96519,3491.76562
120,7.9986,3490.21777
120.5,8.03203,3488.91943
121,8.06533,3487.2085
121.5,8.0986,3485.97656
122,8.13195,3484.90845
122.5,8.16536,3483.9541
123,8.19873,3482.81226
123.5,8.23195,3481.81567
124,8.26523,3480.7063
124.5,8.29856,3480.33423
125,8.33197,3479.71729
125.5,8.36529,3479.31006
126,8.39868,3479.2229
126.5,8.43196,3478.89624
127,8.4653,3478.63135
127.5,8.49861,3478.43652
128,8.53202,3478.77881
128.5,8.56542,3479.1394
129,8.59858,3478.69702
129.5,8.6319,3478.80908
130,8.66516,3479.03735
130.5,8.69864,3479.71655
131,8.73195,3479.98584
131.5,8.76536,3480.24414
132,8.79859,3480.35474
132.5,8.83199,3480.94287
133,8.86539,3481.37061
133.5,8.89869,3481.24365
134,8.93203,3481.70996
134.5,8.96516,3482.00806
135,8.99854,3482.25049
135.5,9.03188,3482.67969
136,9.0654,3483.51782
136.5,9.0986,3483.72681
137,9.13194,3484.06104
137.5,9.16533,3484.37305
138,9.19863,3484.61841
138.5,9.23207,3484.99463
139,9.26536,3484.96436
139.5,9.29864,3484.89771
140,9.33185,3484.53271
140.5,9.36523,3484.76392
141,9.39858,3484.69385
141.5,9.43199,3484.75122
142,9.46531,3484.57324
142.5,9.49855,3484.41089
143,9.53199,3484.38989
143.5,9.56546,3484.45923
144,9.59877,3484.02148
144.5,9.63192,3483.61255
145,9.6652,3483.12769
145.5,9.6985,3482.67627
146,9.73191,3482.74487
146.5,9.76532,3482.67212
147,9.79863,3482.47437
147.5,9.83195,3482.18579
148,9.86531,3481.74561
148.5,9.89874,3481.79907
149,9.93206,3481.37427
149.5,9.96535,3480.96069
150,9.9985,3480.31323
150.5,10.0319,3480.17114
151,10.06522,3479.67456
151.5,10.09863,3479.51416
152,10.13197,3479.1731
152.5,10.16535,3478.95068
153,10.19867,3478.46997
153.5,10.232,3478.14746
154,10.26542,3478.11206
154.5,10.29868,3477.93359
155,10.332,3477.64722
155.5,10.36513,3476.64478
156,10.3985,3476.41919
156.5,10.43203,3476.52441
157,10.4653,3475.86377
157.5,10.49864,3475.4646
158,10.53198,3475.39307
158.5,10.56541,3475.47339
159,10.59867,3475.09131
159.5,10.63214,3475.00342
160,10.66527,3474.42285
160.5,10.69852,3473.95996
161,10.73188,3473.74609
161.5,10.76521,3473.56763
162,10.79872,3473.90918
162.5,10.83198,3473.52393
163,10.86531,3473.46924
163.5,10.89862,3473.4397
164,10.93209,3473.23169
164.5,10.96537,3473.27441
165,10.99867,3473.0061
165.5,11.0319,3472.68945
166,11.0652,3472.7876
166.5,11.09854,3472.9541
167,11.13197,3473.04346
167.5,11.16538,3472.87183
168,11.19866,3472.64453
168.5,11.23196,3472.5166
169,11.26527,3472.30469
169.5,11.29875,3472.53223
170,11.33203,3472.21118
170.5,11.36522,3472.24951
